subLot,lot,bloc,transactionDate,street,houseNumber,apartmentNumber,price,grossArea,netArea,rooms,ppsm,ppr,floor,floors,apartmentsInBuilding,parking,storage,roof,yard,constructionYear,,,,,,,,,,,,,,,,,,,
5,299,6615,19/11/2017,27,16,0,2900000,100,100,4,29000,725000,4,4,0,0,0,0,0,1970,,,,,,,,,,,,,,,,,,,
140,304,6615,12/11/2017,27,11,0,3550000,120,0,5,29583,710000,1,9,0,0,0,0,0,1980,,,,,,,,,,,,,,,,,,,
41,299,6615,06/12/2016,27,18,,2300000,73,,3,31507,766666.67,7,8,26,,,,,1999,,,,,,,,,,,,,,,,,,,
41,299,6615,06/12/2016,27,18,0,2300000,73,0,3,31507,766666.67,7,8,26,0,0,0,0,1999,,,,,,,,,,,,,,,,,,,
0,44,6135,18/09/2019,28,20,0,2500000,121,121,5,20661,500000,0,3,1,0,0,0,0,1992,,,,,,,,,,,,,,,,,,,
35,106,7080,12/03/2018,29,4,0,4367000,117,103,4,42398,1091750,0,4,42,2,0,0,67,2003,,,,,,,,,,,,,,,,,,,
0,64,6213,03/02/2021,30,144,16,3645031,63,63,3,57858,1215010,4,8,50,0,0,0,0,2021,,,,,,,,,,,,,,,,,,,
0,69,6111,02/02/2021,30,6,9,1300000,76,76,3,17105,433333,3,3,14,0,0,0,0,1940,,,,,,,,,,,,,,,,,,,
0,64,6213,25/01/2021,30,144,18,3696324,63,63,3,58672,1232108,6,8,50,0,0,0,0,2021,,,,,,,,,,,,,,,,,,,
7,485,6214,27/11/2020,30,125,6,3200000,76,87,3,36782,1066667,1,4,36,0,0,0,0,1950,,,,,,,,,,,,,,,,,,,
10,17,7085,12/11/2020,30,7,8,3225000,78,61,4,52869,806250,2,3,16,0,0,0,0,1950,,,,,,,,,,,,,,,,,,,
15,488,6214,05/08/2020,30,131,7,2400000,61,48,2,50000,1200000,2,4,16,0,0,0,0,1960,,,,,,,,,,,,,,,,,,,
13,491,6214,22/06/2020,30,137,0,2500001,66,0,3,37879,833334,3,3,13,0,0,0,0,1958,,,,,,,,,,,,,,,,,,,
21,74,6216,03/06/2020,30,110,0,2600000,61,45,2,57778,1300000,1,4,11,0,0,0,0,1950,,,,,,,,,,,,,,,,,,,
8,326,6217,16/04/2018,30,100,0,3050000,65,65,3,46923,1016667,1,3,16,0,0,0,0,1960,,,,,,,,,,,,,,,,,,,
15,268,6214,26/03/2018,30,105,10,2350000,56,52,2.5,45192,940000,3,3,10,0,0,0,0,1950,,,,,,,,,,,,,,,,,,,
14,428,6212,14/03/2018,30,163,0,1620000,65,50,3,32400,540000,2,4,14,0,0,0,0,1970,,,,,,,,,,,,,,,,,,,
0,124,6213,27/04/2015,30,1,121,6351049,0,152,6,41783,1058508,21,48,220,2,0,0,0,2016,,,,,,,,,,,,,,,,,,,
-1,124,6213,27/04/2015,30,1,0,2451912,0,64,2.5,38311,980765,21,48,220,1,0,0,0,2016,,,,,,,,,,,,,,,,,,,
0,124,6213,27/04/2015,30,1,0,2451912,0,64,2.5,38311,980765,21,48,220,1,0,0,0,2016,,,,,,,,,,,,,,,,,,,
0,66,6213,01/04/2015,30,142,0,1450000,30,30,1.5,48333,966667,2,4,12,0,0,0,0,1950,,,,,,,,,,,,,,,,,,,
30,682,6217,01/04/2015,30,106,0,2857495,0,61,3,46844,952498,4,8,0,0,0,0,0,2015,,,,,,,,,,,,,,,,,,,
30,682,6217,01/04/2015,30,106,,2857495,,61,3,46844,952498,4,8,,,,,,2015,,,,,,,,,,,,,,,,,,,
0,124,6213,31/03/2015,30,1,252,2528291,0,64,2.5,39505,1011316,25,48,220,1,0,0,0,2016,,,,,,,,,,,,,,,,,,,
-1,124,6213,31/03/2015,30,1,0,6618597,0,152,6,43543,1103100,25,48,220,1,0,0,0,2016,,,,,,,,,,,,,,,,,,,
0,124,6213,31/03/2015,30,1,0,6618597,0,152,6,43543,1103100,25,48,220,1,0,0,0,2016,,,,,,,,,,,,,,,,,,,
0,124,6213,25/03/2015,30,124,182,2344042,0,64,3,36626,781347,18,48,220,1,0,0,0,2016,,,,,,,,,,,,,,,,,,,
0,682,6217,18/03/2015,30,106,,11400000,,141,5,80851,2280000,6,8,,,,,,2015,,,,,,,,,,,,,,,,,,,
33,572,6214,30/12/2009,30,151,0,1200000,0,55,2,21818,600000,3,0,0,0,0,0,0,1955,,,,,,,,,,,,,,,,,,,
0,456,6212,10/12/2009,30,191,0,1100000,0,10,1.5,110000,733333,1,0,0,0,0,0,0,1951,,,,,,,,,,,,,,,,,,,
10,456,6212,03/12/2009,30,191,0,1140000,0,10,3,114000,380000,3,0,0,0,0,0,0,1958,,,,,,,,,,,,,,,,,,,
14,456,6212,23/07/2003,30,191,14,590760,50,0,2,11815,295380,3,0,0,0,0,0,0,1950,,,,,,,,,,,,,,,,,,,
30,572,6214,29/12/2002,30,151,0,670740,0,50,2,13415,335370,2,3,0,0,0,0,0,1960,,,,,,,,,,,,,,,,,,,
0,572,6214,31/12/2019,30,149,0,2500000,61,61,2,40984,1250000,3,3,6,0,0,0,0,1950,,,,,,,,,,,,,,,,,,,
8,457,6212,04/11/2019,30,189,0,2875002,53,53,3,54245,958334,2,3,18,0,0,0,0,1950,,,,,,,,,,,,,,,,,,,
22,1015,6212,22/10/2019,30,176,0,238500,65,57,3,4184,79500,1,4,8,0,0,0,0,1950,,,,,,,,,,,,,,,,,,,
17,572,6111,22/10/2019,30,48,0,3690000,99,78,4,47308,922500,3,3,11,0,0,0,0,1950,,,,,,,,,,,,,,,,,,,
7,14,7085,10/10/2019,30,13,3,2265000,65,48,2.5,47188,906000,1,5,14,0,0,0,0,1950,,,,,,,,,,,,,,,,,,,
12,251,6215,07/10/2019,30,85,6,2700000,59,59,2.5,45763,1080000,2,4,10,0,0,0,0,1960,,,,,,,,,,,,,,,,,,,
0,490,6214,16/09/2019,30,135,0,1400000,65,65,2,21538,700000,0,4,15,0,0,0,0,1950,,,,,,,,,,,,,,,,,,,
0,219,6111,06/12/2017,30,46,0,793333,55,55,2,14424,396666.5,1,3,11,0,0,0,0,1940,,,,,,,,,,,,,,,,,,,
17,678,6217,23/11/2017,30,106,0,14750400,100,100,4,147504,3687600,6,9,0,0,0,0,0,2012,,,,,,,,,,,,,,,,,,,
0,458,6213,28/12/2016,30,162,0,2750000,73,0,3,37671,916666.67,3,4,0,0,0,0,0,1954,,,,,,,,,,,,,,,,,,,
0,572,6214,21/12/2016,30,149,11,2210000,52,52,2,42500,1105000,3,3,28,0,0,0,0,1950,,,,,,,,,,,,,,,,,,,
9,572,6214,12/12/2016,30,149,0,2250000,60,60,2,37500,1125000,2,4,15,0,0,0,0,1955,,,,,,,,,,,,,,,,,,,
4,152,6111,06/12/2016,30,62,21,1870000,40,40,2,46750,935000,2,8,40,0,0,0,0,2006,,,,,,,,,,,,,,,,,,,
5,395,6212,05/12/2016,30,155,0,2280001,43,0,2,53023,1140000.5,0,4,0,0,0,0,0,1950,,,,,,,,,,,,,,,,,,,
3,222,6217,30/11/2016,30,104,0,724999,20,0,1,36250,724999,1,4,32,0,0,0,0,1968,,,,,,,,,,,,,,,,,,,
0,124,6213,22/11/2016,30,1,0,2395381,64,0,3,37428,798460.33,21,48,220,0,0,0,0,2017,,,,,,,,,,,,,,,,,,,
2,1,6111,21/11/2016,30,62,,3430000,50,50,2,68600,1715000,7,7,,,,,,1970,,,,,,,,,,,,,,,,,,,
13,268,6214,21/11/2016,30,105,0,3225001,62,69,3,46739,1075000.33,3,3,10,0,0,0,0,1950,,,,,,,,,,,,,,,,,,,
0,420,6212,21/11/2016,30,179,0,2500000,60,60,3,41667,833333.33,3,4,0,0,0,0,0,1955,,,,,,,,,,,,,,,,,,,
4,152,6111,21/11/2016,30,62,0,3430000,50,50,2,68600,1715000,7,7,0,0,0,0,0,1970,,,,,,,,,,,,,,,,,,,
6,1,6111,30/12/2014,30,63,,1720001,50,,2,34400,860000.5,4,4,,,,,,1963,,,,,,,,,,,,,,,,,,,
0,682,6217,08/12/2014,30,106,,2744000,,70,2,39200,1372000,5,8,103,,,,,2014,,,,,,,,,,,,,,,,,,,
7,682,6217,11/11/2014,30,106,57,3379102,67,67,2,50434,1689551,7,8,103,1,,,29,2014,,,,,,,,,,,,,,,,,,,
75,682,6217,11/11/2014,30,106,59,9959415,170,170,5,58585,1991883,7,8,103,2,,,127,2014,,,,,,,,,,,,,,,,,,,
0,456,6212,26/10/2014,30,191,0,1510000,40,0,1.5,37750,1006666.67,2,4,0,0,0,0,0,1970,,,,,,,,,,,,,,,,,,,
12,15,7085,29/12/2013,30,11,,1930000,60,60,3,32167,643333.33,3,4,,,,,,1970,,,,,,,,,,,,,,,,,,,
8,2,6111,29/12/2013,30,44,,1660000,70,70,2,23714,830000,3,3,,,,,,1950,,,,,,,,,,,,,,,,,,,
0,572,6214,02/10/2012,30,149,0,1550000,0,66,2,23485,775000,1,4,10,0,0,0,0,1955,,,,,,,,,,,,,,,,,,,
0,8,6111,23/09/2012,30,12,,520000,60,45,2,11556,260000,3,4,,,,,,1960,,,,,,,,,,,,,,,,,,,
-1,8,6111,23/09/2012,30,12,,520000,60,45,2,11556,260000,3,4,,,,,,1960,,,,,,,,,,,,,,,,,,,
-2,8,6111,23/09/2012,30,12,,519999,46,,2,11304,259999.5,4,5,,,,,,1970,,,,,,,,,,,,,,,,,,,
2,38,7029,28/02/2003,31,72,0,1050000,0,95,5,11053,210000,1,3,5,1,0,0,0,2000,,,,,,,,,,,,,,,,,,,
9,3,9018,28/11/2013,31,62,,2270001,94,,3,24149,756667,2,2,,,,,,2000,,,,,,,,,,,,,,,,,,,
4,32,9009,10/12/2012,31,5,0,436301,87,0,3,5015,145433.67,1,4,0,0,0,58,0,1960,,,,,,,,,,,,,,,,,,,
4,32,9009,10/12/2012,31,5,,436301,87,,3,5015,145433.67,1,4,,,,58,,1960,,,,,,,,,,,,,,,,,,,
5,2,9012,27/11/2012,31,34,0,2450001,118,0,4,20763,612500.25,1,3,0,0,0,0,0,2007,,,,,,,,,,,,,,,,,,,
5,2,9012,27/11/2012,31,34,,2450001,118,,4,20763,612500.25,1,3,,,,,,2007,,,,,,,,,,,,,,,,,,,
0,34,9012,22/08/2012,31,27,0,3000000,0,264,10,11364,300000,0,0,0,0,0,30,0,2006,,,,,,,,,,,,,,,,,,,
0,34,9012,22/08/2012,31,27,,3000000,,264,10,11364,300000,0,,,,,30,,2006,,,,,,,,,,,,,,,,,,,
0,593,6623,17/12/2012,32,15,,4750001,289,,6,16436,791666.83,0,3,2,,,,,1980,,,,,,,,,,,,,,,,,,,
1,7,7080,30/03/2015,33,10,,1050000,31,31,2,33871,525000,0,4,,,,,,1970,,,,,,,,,,,,,,,,,,,
1,8,7080,06/12/2017,33,8,0,2600000,81,72,3,36111,866666.67,2,5,8,0,0,0,0,2017,,,,,,,,,,,,,,,,,,,
26,104,7051,04/11/2020,34,45,24,2300000,54,51,2,45098,1150000,3,6,45,1,0,0,0,2010,,,,,,,,,,,,,,,,,,,
28,104,7051,24/04/2018,34,45,26,1950000,48,43,2,45349,975000,3,8,43,2,0,0,0,2009,,,,,,,,,,,,,,,,,,,
3,155,7051,15/04/2018,34,74,474,2250000,50,50,2,45000,1125000,7,8,155,1,0,0,0,2013,,,,,,,,,,,,,,,,,,,
473,155,7051,18/03/2018,34,74,0,2925000,72,74,3,39527,975000,7,9,44,1,0,0,0,2014,,,,,,,,,,,,,,,,,,,
7,108,7051,13/04/2015,34,49,,1219999,37,,2,32973,610000,1,8,87,,,,,2006,,,,,,,,,,,,,,,,,,,
6,108,7051,26/03/2015,34,49,,625002,50,50,2,12500,312501,8,9,,,,,,1970,,,,,,,,,,,,,,,,,,,
47,94,7051,29/11/2017,34,33,45,1499999,28,33,2,45455,749999.5,7,8,50,1,0,0,0,2003,,,,,,,,,,,,,,,,,,,
0,180,7051,17/12/2014,34,49,,1059999,38,38,2,27895,529999.5,0,8,,,,,,1970,,,,,,,,,,,,,,,,,,,
77,108,7051,01/12/2014,34,49,,1470001,45,45,2,32667,735000.5,7,9,,,,,,2000,,,,,,,,,,,,,,,,,,,
0,155,7051,30/10/2014,34,74,,1550001,51,,2,30392,775000.5,2,9,,,,,,2014,,,,,,,,,,,,,,,,,,,
0,103,7051,26/12/2013,34,43,20,1150000,50,50,2,23000,575000,3,10,71,1,,,,2005,,,,,,,,,,,,,,,,,,,
41,94,7051,12/11/2013,34,35,,1310000,40,,2,32750,655000,6,9,,,,,,2002,,,,,,,,,,,,,,,,,,,
9,108,7051,26/12/2012,34,45,,1160000,40,40,2,29000,580000,6,8,70,,,,,1970,,,,,,,,,,,,,,,,,,,
0,108,7051,15/11/2012,34,45,,1198632,50,50,2,23973,599316,5,9,87,,,,,2012,,,,,,,,,,,,,,,,,,,
0,108,7051,21/10/2012,34,45,,970000,,36,2,26944,485000,7,8,87,1,,,,2012,,,,,,,,,,,,,,,,,,,
42,94,7051,24/09/2012,34,35,,1245000,,41,2,30366,622500,6,8,54,1,,,,2001,,,,,,,,,,,,,,,,,,,
1,843,6623,15/12/2013,35,15,,4900000,185,185,4,26486,1225000,1,4,,,,,,2013,,,,,,,,,,,,,,,,,,,
14,150,6958,21/11/2013,36,6,,5999999,85,,5,70588,1199999.8,3,3,,1,,75,,1970,,,,,,,,,,,,,,,,,,,
0,164,6215,20/11/2019,37,12,0,1250000,69,65,2.5,19231,500000,2,3,12,0,0,0,0,1950,,,,,,,,,,,,,,,,,,,
0,287,6335,10/11/2014,38,29,0,5700000,290,0,6,19655,950000,1,3,1,0,0,0,0,1980,,,,,,,,,,,,,,,,,,,
2,351,6335,19/12/2013,38,1,0,4899999,250,0,5,19600,979999.8,0,3,0,0,0,0,0,2011,,,,,,,,,,,,,,,,,,,
2,11,7046,05/09/2019,39,9,0,1200000,66,63,2,19048,600000,0,1,7,0,0,34,0,1940,,,,,,,,,,,,,,,,,,,
6,35,6992,22/03/2018,40,1,4,1550000,72,59,3,26271,516667,2,4,12,0,0,0,0,1970,,,,,,,,,,,,,,,,,,,
2,62,6992,19/03/2018,40,13,0,1500000,103,0,4.5,14563,333333,1,8,32,0,0,0,0,1987,,,,,,,,,,,,,,,,,,,
29,54,6992,24/12/2017,40,6,0,31700,62,62,3,511,10566.67,8,8,32,0,0,0,0,1970,,,,,,,,,,,,,,,,,,,
2,52,6992,14/12/2016,40,2,0,1380001,63,0,3,21905,460000.33,1,8,0,0,0,0,0,1960,,,,,,,,,,,,,,,,,,,
1,38,6992,06/12/2016,40,9,0,1350000,72,62,3,21774,450000,1,8,32,0,0,0,0,1980,,,,,,,,,,,,,,,,,,,
9,39,6992,21/11/2016,40,11,0,585000,65,0,3,9000,195000,3,8,32,0,0,0,0,1983,,,,,,,,,,,,,,,,,,,
25,63,6992,21/12/2014,40,15,,1100000,66,,3,16667,366666.67,7,10,,1,,,,1987,,,,,,,,,,,,,,,,,,,
16,63,6992,12/11/2013,40,15,,1120000,66,,3,16970,373333.33,4,8,,,,,,1984,,,,,,,,,,,,,,,,,,,
7,35,6992,10/11/2013,40,1,,935000,63,63,3,14841,311666.67,3,4,12,,,,,1970,,,,,,,,,,,,,,,,,,,
8,27,6916,16/11/2017,41,17,0,2000000,81,0,2.5,24691,800000,3,3,8,0,0,0,0,1960,,,,,,,,,,,,,,,,,,,
-1,579,6624,18/12/2013,41,5,,4700000,203,,8,23153,587500,0,2,8,,,,,2008,,,,,,,,,,,,,,,,,,,
0,579,6624,18/12/2013,41,5,,4700000,203,,8,23153,587500,0,2,8,,,,,2008,,,,,,,,,,,,,,,,,,,
7,6,7016,30/03/2015,42,12,,3750000,87,87,3,43103,1250000,4,5,,,,,,2014,,,,,,,,,,,,,,,,,,,
0,70,7016,12/03/2009,42,5,,278130,206,120,6,2318,46355,0,,,,,,,1950,,,,,,,,,,,,,,,,,,,
27,69,7016,30/01/2005,42,3,,559054,,44,2,12706,279527,3,,,,,,,1950,,,,,,,,,,,,,,,,,,,
5,69,7016,19/01/2005,42,3,,600050,,50,2,12001,300025,0,,,,,,,1950,,,,,,,,,,,,,,,,,,,
3,62,7016,02/03/2004,42,10,,852340,,96,3,8879,284113,2,2,3,,,,,1948,,,,,,,,,,,,,,,,,,,
9,69,7016,17/09/2003,42,3,,627900,,48,2,13081,313950,1,3,36,,,,,1950,,,,,,,,,,,,,,,,,,,
5,69,7016,31/07/2002,42,3,,445455,,49,2,9091,222728,0,3,,,,,,1958,,,,,,,,,,,,,,,,,,,
1,69,7016,10/12/2014,42,3,,1000000,105,105,2,9524,500000,1,4,,,,,,1950,,,,,,,,,,,,,,,,,,,
20,69,7016,30/01/2011,42,3,,2200000,,54,3,40741,733333.33,2,3,35,,,,,1960,,,,,,,,,,,,,,,,,,,
10,69,7016,17/09/2006,42,3,,695200,61,54,2,12874,347600,2,4,36,,,,,1952,,,,,,,,,,,,,,,,,,,
1,75,7047,21/11/2019,43,7,1,3770000,120,120,3,31417,1256666.67,0,5,6,0,0,0,78,2019,,,,,,,,,,,,,,,,,,,
3,35,7024,24/03/2015,44,1,,1624999,54,54,1,30093,1624999,2,2,,,,,,1970,,,,,,,,,,,,,,,,,,,
1,35,7024,16/12/2014,44,1,,1450000,54,,2,26852,725000,0,2,4,,,,,2003,,,,,,,,,,,,,,,,,,,
11,37,7103,15/04/2015,45,9,0,2250001,70,0,3,32143,750000,3,3,0,0,0,0,0,1960,,,,,,,,,,,,,,,,,,,
0,87,7425,23/03/2015,46,34,,2300000,83,,3,27711,766667,2,2,,,,,,1950,,,,,,,,,,,,,,,,,,,
5,57,6904,17/11/2016,47,19,0,4100000,82,0,4,50000,1025000,1,3,8,0,0,0,0,1962,,,,,,,,,,,,,,,,,,,
2,127,7071,03/12/2019,48,2,0,4200000,92,89,3,47191,1400000,2,4,11,1,0,0,0,2012,,,,,,,,,,,,,,,,,,,
7,612,6106,27/11/2019,48,4,0,3400000,70,66,3,51515,1133333.33,3,4,12,1,0,0,0,1970,,,,,,,,,,,,,,,,,,,
2,589,6106,30/12/2013,48,3,,640999,80,,3.5,8012,183142.57,1,4,,,,,,1980,,,,,,,,,,,,,,,,,,,
2,698,6106,02/12/2012,48,17,,2750001,100,,4,27500,687500.25,1,5,,,,,,1991,,,,,,,,,,,,,,,,,,,
1,63,6963,01/04/2015,49,44,,1900000,50,50,2,38000,950000,0,6,,,,,,2015,,,,,,,,,,,,,,,,,,,
11,472,6212,10/12/2017,49,98,0,2905000,65,54,2,53796,1452500,2,4,20,0,0,0,0,1960,,,,,,,,,,,,,,,,,,,
13,63,6963,25/12/2016,49,44,,4103400,55,55,2.5,74607,1641360,3,6,20,,,,,2015,,,,,,,,,,,,,,,,,,,
6,66,6958,31/12/2013,49,64,,2100000,55,,3,38182,700000,2,4,,,,,,1960,,,,,,,,,,,,,,,,,,,
2,62,6963,31/12/2013,49,42,,2500002,37,,2,67568,1250001,0,5,,,,,,1960,,,,,,,,,,,,,,,,,,,
